IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 7.92847
2 , Nodo 2 , 7.72631
3 , Nodo 3 , 7.72196
4 , Nodo 4 , 7.78935
5 , Nodo 5 , 7.5256
6 , Nodo 6 , 7.49009
7 , Nodo 7 , 7.47053
8 , Nodo 8 , 7.45096
9 , Nodo 9 , 7.38213
10 , Nodo 10 , 7.45024
11 , Nodo 11 , 4.741
12 , Nodo 12 , 1.61729
13 , Nodo 13 , 1.63033
14 , Nodo 14 , 1.59482
15 , Nodo 15 , 1.61439
16 , Nodo 16 , 1.60714
17 , Nodo 17 , 1.62163
18 , Nodo 18 , 1.63468
19 , Nodo 19 , 1.58178
20 , Nodo 20 , 1.61294
21 , Nodo 21 , 1.597
22 , Nodo 22 , 1.59917
23 , Nodo 23 , 1.61221
